"","GEOID","avg_distance_metro_miles","avg_distance_bus_miles","LOCATION","AREA_SQMI","E_TOTPOP","E_HU","E_HH","E_POV150","E_UNEMP","E_HBURD","E_NOHSDP","E_UNINSUR","E_AGE65","E_AGE17","E_DISABL","E_SNGPNT","E_LIMENG","E_MINRTY","E_MUNIT","E_MOBILE","E_CROWD","E_NOVEH","E_GROUPQ","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","train_walking_category","bus_walking_category"
"109",11001007202,0.23,0.11,"Census Tract 72.02; District of Columbia; District of Columbia",0.071033888,4446,3311,2842,143,63,451,18,18,109,125,164,49,0,1059,3290,0,74,790,0,3.2,1.5,15.9,0.4,0.4,2.5,2.8,3.8,1.7,0,23.8,99.4,0,2.6,27.8,0,0.0293,0.1366,0.2808,0.0976,0.0976,0.6419,0.0542,0.0341,0.1073,0.0683,0.3153,0,0.525,0.0296,0.0488,0.0488,0.0488,0.9754,0,0.5172,0.3695,0,1.8621,0.4039,3.0778,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"6-10 minutes","0-5 minutes"
"110",11001007203,0.37,0.16,"Census Tract 72.03; District of Columbia; District of Columbia",0.148331894,2951,2044,1716,224,57,134,73,0,232,331,267,14,73,897,1720,0,55,537,22,7.6,2.6,7.8,2.9,0,7.9,11.2,9.2,0.8,2.7,30.4,84.1,0,3.2,31.3,0.7,0.2146,0.2683,0.069,0.3171,0,0.869,0.0887,0.2683,0.2976,0.439,0.202,0.7854,1.9923,0.2857,0.161,0.161,0.161,0.8621,0,0.5961,0.4532,0.4049,2.3163,0.6897,5.3386,0.2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-10 minutes","0-5 minutes"
"111",11001007304,0.46,0.08,"Census Tract 73.04; District of Columbia; District of Columbia",0.476002376,4927,2249,2027,2252,215,1286,528,199,518,1537,822,368,0,4744,597,0,25,1081,302,47.7,10.4,63.4,17,4.2,10.5,31.2,17.4,18.2,0,96.3,26.6,0,1.2,53.3,6.1,0.9317,0.7268,0.9901,0.9171,0.722,4.2877,0.9458,0.4439,0.9122,0.8537,0.9015,0,3.1113,0.7291,0.8293,0.8293,0.8293,0.3103,0,0.3645,0.8374,0.8634,2.3756,0.734,10.6039,0.8818,1,0,1,1,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,5,"10+ minutes","0-5 minutes"
"112",11001007401,0.38,0.09,"Census Tract 74.01; District of Columbia; District of Columbia",0.466840948,1407,952,755,765,146,474,148,133,328,286,309,71,13,1380,495,0,36,477,21,55.3,24,62.8,15.1,9.5,23.3,20.3,22,9.4,1,98.1,52,0,4.8,63.2,1.5,0.9512,0.9366,0.9852,0.8634,0.961,4.6974,1,0.9171,0.6,0.9561,0.7438,0.5512,3.7682,0.9704,0.8927,0.8927,0.8927,0.6059,0,0.7635,0.9704,0.5756,2.9154,0.8867,12.2737,1,1,1,1,0,1,4,1,0,1,0,0,2,0,0,0,0,0,1,0,1,7,"6-10 minutes","0-5 minutes"
"113",11001007403,0.9,0.08,"Census Tract 74.03; District of Columbia; District of Columbia",0.127762696,2421,1094,925,1421,141,636,217,60,126,947,434,229,0,2411,397,0,58,503,0,58.7,16.4,68.8,16.3,2.5,5.2,39.1,17.9,24.8,0,99.6,36.3,0,6.3,54.4,0,0.9756,0.8634,1,0.8976,0.4634,4.2,0.9163,0.1366,0.9951,0.8683,0.9458,0,2.9458,0.6552,0.9659,0.9659,0.9659,0.4384,0,0.8325,0.8621,0,2.133,0.6207,10.2447,0.8424,1,0,1,0,0,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,5,"10+ minutes","0-5 minutes"
"114",11001007404,0.65,0.09,"Census Tract 74.04; District of Columbia; District of Columbia",0.31907006,3958,1570,1366,900,266,606,260,232,163,1488,471,418,0,3868,500,0,19,555,0,22.7,15.5,44.4,11.8,5.9,4.1,37.6,11.9,30.6,0,97.7,31.9,0,1.4,40.6,0,0.6537,0.8537,0.8719,0.7756,0.8537,4.0086,0.867,0.0829,0.9854,0.639,0.9803,0,2.6876,0.5517,0.8683,0.8683,0.8683,0.3892,0,0.3892,0.6305,0,1.4089,0.2069,8.9734,0.7094,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,"10+ minutes","0-5 minutes"
"115",11001007406,0.72,0.05,"Census Tract 74.06; District of Columbia; District of Columbia",0.139055408,3033,1442,1242,1771,240,554,77,106,86,1096,337,443,0,3033,1119,0,14,471,9,58.4,22.3,44.6,5,3.5,2.8,36.1,11.2,35.6,0,100,77.6,0,1.1,37.9,0.3,0.9707,0.9268,0.8818,0.4732,0.6244,3.8769,0.8424,0.039,0.9707,0.6098,0.9951,0,2.6146,0.5271,1,1,1,0.8177,0,0.3448,0.5764,0.2829,2.0218,0.5419,9.5133,0.7586,1,1,0,0,0,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,5,"10+ minutes","0-5 minutes"
"116",11001007407,0.75,0.08,"Census Tract 74.07; District of Columbia; District of Columbia",0.235020287,3216,1614,1433,1405,200,599,131,72,342,1062,481,357,50,3151,663,0,36,525,13,43.7,13,41.8,6.5,2.2,10.6,33,15,24.9,1.7,98,41.1,0,2.5,36.6,0.4,0.8878,0.7902,0.8473,0.5463,0.4341,3.5057,0.7488,0.4634,0.9463,0.8049,0.9507,0.6878,3.8531,0.9803,0.8878,0.8878,0.8878,0.5025,0,0.4975,0.5665,0.3122,1.8787,0.4335,10.1253,0.8325,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,"10+ minutes","0-5 minutes"
"117",11001007408,1.4,0.06,"Census Tract 74.08; District of Columbia; District of Columbia",0.143764694,4035,1640,1443,2531,469,601,219,228,330,1749,491,343,0,3979,445,0,175,657,402,66.5,31.4,41.6,10.2,6,8.2,43.3,12.9,23.8,0,98.6,27.2,0,12.1,45.5,10,0.9805,0.9902,0.8374,0.722,0.8585,4.3886,0.9754,0.2878,1,0.6829,0.931,0,2.9017,0.6158,0.922,0.922,0.922,0.3251,0,0.931,0.7143,0.9122,2.8826,0.8768,11.0949,0.9507,1,1,0,0,0,2,0,1,0,1,0,2,1,1,0,0,1,0,1,2,7,"10+ minutes","0-5 minutes"
"118",11001007409,1.06,0.07,"Census Tract 74.09; District of Columbia; District of Columbia",0.156322275,3718,1835,1815,2063,488,976,641,130,494,1060,752,555,17,3706,684,0,90,974,0,55.5,30.6,53.8,25.9,3.5,13.3,28.5,20.2,30.5,0.5,99.7,37.3,0,5,53.7,0,0.9561,0.9805,0.9458,0.9902,0.6244,4.497,0.9852,0.6098,0.8537,0.9171,0.9754,0.4,3.756,0.9655,0.9707,0.9707,0.9707,0.4483,0,0.7783,0.8424,0,2.069,0.5616,11.2927,0.9606,1,1,1,1,0,4,0,0,1,1,0,2,1,1,0,0,0,0,0,0,7,"10+ minutes","0-5 minutes"
